strItemType	comments
s	s
rare_loot_chest_quality_1	Chest: Rare Chest
item_costume_dug	Costume: Dug Instructions
item_costume_geonosian	Costume: Geonosian Instructions
item_costume_mynock	Costume: Mynock Instructions
item_costume_rancor	Costume: Rancor Instructions
item_costume_ugnaught	Costume: Ugnaught Instructions
item_costume_wampa	Costume: Wampa Instuctions
object/tangible/item/quest/force_sensitive/fs_sculpture_1.iff	Decoration: An Aurillian Sculpture Section 1
object/tangible/item/quest/force_sensitive/fs_sculpture_2.iff	Decoration: An Aurillian Sculpture Section 2
object/tangible/item/quest/force_sensitive/fs_sculpture_3.iff	Decoration: An Aurillian Sculpture Section 3
object/tangible/item/quest/force_sensitive/fs_sculpture_4.iff	Decoration: An Aurillian Sculpture Section 4
object/tangible/item/quest/force_sensitive/bacta_tank.iff	Decoration: A Bacta Tank
item_content_decor_hologram_disk_03_01	Decoration: Data Disk Hologram
item_content_bubble_tank_02_01	Decoration: Decorative Bubble Tank
object/tangible/container/drum/treasure_drum.iff	Decoration: Drum
object/tangible/veteran_reward/frn_vet_rug_imperial.iff	Decoration: Imperial Rug
item_tow_decor_jedi_relic_02_03	Decoration: Jedi Relic
item_tow_decor_lava_geode_02_01	Decoration: Lava Geode
item_ep3_rewards_prayor_mobile	Decoration: Prayer Mobile
object/tangible/veteran_reward/frn_vet_rug_rebel.iff	Decoration: Rebel Rug
item_tow_decor_sith_relic_02_01	Decoration: Sith Relic
object/tangible/veteran_reward/resource.iff	Deed: A Crate of Free Resources
object/tangible/mission/quest_item/bren_kingal_q4_needed.iff	Gear: AT-ST pilot's helmet
object/tangible/wearables/helmet/helmet_s06.iff	Gear: Endor Rebel Helmet
item_jedi_robe_06_01	Gear: Jedi Master Cloak
item_jedi_robe_06_02	Gear: Jedi Master Cloak
object/tangible/wearables/armor/nightsister/armor_nightsister_bicep_r_s01.iff	Gear: Nightsister Melee Armguard
item_schematic_hide_rack_s01	Schematic: Animal Hide Rack Style 1 
item_schematic_hide_rack_s02	Schematic: Animal Hide Rack Style 2
item_schematic_hide_rack_s03	Schematic: Animal Hide Rack Style 3
item_schematic_hide_rack_s04	Schematic: Animal Hide Rack Style 4
item_schematic_gungan_statue_s01	Schematic: Gungan Statue Style 1
item_schematic_gungan_statue_s02	Schematic: Gungan Statue Style 2
item_schematic_gungan_statue_s03	Schematic: Gungan Statue Style 3
item_schematic_gungan_statue_s04	Schematic: Gungan Statue Style 4
item_tow_schematic_jedi_statue_02_01	Schematic: Jedi Statue
item_schematic_fruit_stand_lg	Schematic: Large Fruit Stand
item_schematic_lugjack_machine	Schematic: Lugjack Machine
object/tangible/painting/painting_droid_bright.iff	Schematic: Modified Fusion Reactor
