objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-456204215	0	object/static/structure/corellia/corl_imprv_wall_4x16_s03.iff	0	1121.7817	24	623.9685	1	0	0	0		$|
-456203935	0	object/static/structure/corellia/corl_imprv_wall_4x16_s03.iff	0	1226.8257	24	623.98535	1	0	0	0		$|
-469700178	0	object/building/military/outpost_starport.iff	0	1174	24	614	1	0	0	0	structure.municipal.starport:planet_map.map_loc	travel.air_time|0|60|travel.cost|0|150|travel.ground_time|0|300|travel.point_name|4|Czerka Outpost|travel.shuttle_available|0|1|travel.version|0|3|$|
-469700179	-469700178	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-473900303	-469700179	object/tangible/terminal/terminal_space.iff	1	-7.42509	0.146595	-19.2466	1	0	0	0	space.terminal.terminal_space	buildoutObjectId|-473900303|$|
-4739004284	0	object/tangible/ground_spawning/area_spawner.iff	0	1151.9229	24	600.4895	-0.10671828	0	0.99428946	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|1.000000|fltMinSpawnTime|2|0.100000|fltRadius|2|1.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|ep3_chassis_broker_05|strSpawnerType|4|area|strSpawns|4|ep3_chassis_broker_05|$|
-480301218	0	object/tangible/terminal/terminal_bazaar.iff	0	1183.96	24	594.1499	1	0	0	0	planet_map.map_loc_attach:planet_map.map_loc:terminal.bazaar	$|
-480301246	0	object/tangible/terminal/terminal_bazaar.iff	0	1195.95	24	594.1499	1	0	0	0	planet_map.map_loc_attach:planet_map.map_loc:terminal.bazaar	$|
-480301308	0	object/tangible/terminal/terminal_bank.iff	0	1187.98	24	594.01	1	0	0	0	planet_map.map_loc:terminal.bank	banking_bankid|4|dxun|$|
-480301347	0	object/tangible/terminal/terminal_bank.iff	0	1191.99	24	594.01	1	0	0	0	planet_map.map_loc:terminal.bank	banking_bankid|4|dxun|$|
