id	Items	Include Items From	Category	Feature Bit Reward Exclusion Mask	Account Flags	Account Feature Id	Feature Id Blocked by Subscription Bit	Consume Account Feature Id	Account Age Days	Character Age Days	Character Objvar	Once Per Account	Announcement Message	Description	URL	Start Date yyyy	Start Date mm	Start Date dd	End Date yyyy	End Date mm	End Date dd	Buddy Points	Comments
s	s	s	i[0]	i	i	i	i[0]	b[1]	i	i	s	b	s	s	s	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i	c
6moJTL	sorosuub			0	16	0	0		0	0		0	veteran_new:announcement_180day_jtl	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
ROWpreorder	varactyl			0	1048576	0	0		0	0		1	veteran_new:announcement_row_preorder	veteran_new:choice_description	web.archive.org/web/20051015220442/http://starwarsgalaxies.station.sony.com/content.jsp?page=Friday%20Feature%20Sneak%20Peek:%20New%20Rideable%20Mounts%20and%20Speeder	2005	5	5					
ROWretail	barc_speeder			0	2097152	0	0		0	0		1	veteran_new:announcement_row_retail	veteran_new:choice_description	web.archive.org/web/20051015220442/http://starwarsgalaxies.station.sony.com/content.jsp?page=Friday%20Feature%20Sneak%20Peek:%20New%20Rideable%20Mounts%20and%20Speeder								
ToOWretail	tow_retail_reward			0	4194304	0	0		0	0		1	veteran_new:announcement_tow_retail	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
ToOWpreorder	transport_skiff			0	16384	0	0		0	0		1	veteran_new:announcement_tow_preorder	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
StarterKit	instant_travel			0	65536	0	0		0	0		0	veteran_new:announcement_starter_kit	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
FreeTrial2Conversion	cybernetic_xp_chip			0	262144	0	0		0	0		1	veteran_new:announcement_freetrial2_conversion	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
COAretail	walker_at_rt			0	524288	0	0		0	0		1	veteran_new:announcement_coa_retail	veteran_new:choice_description	web.archive.org/web/20051015220442/http://starwarsgalaxies.station.sony.com/content.jsp?page=Friday%20Feature%20Sneak%20Peek:%20New%20Rideable%20Mounts%20and%20Speeder								
itvRoyal	instant_travel_royal_ship			0	33554432	0	0		0	0		0	veteran_new:announcement_itv_royal	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
grievous_wheel_bike	grievous_wheel_bike			0	0	0	0	0	0	0		0	veteran_new:grievous_wheel_bike	veteran_new:choice_description	web.archive.org/web/20111213014136/http://starwarsgalaxies.station.sony.com/players/index.vm								Steam - Grievous Wheel Bike
item_level90_boost	item_level90_boost			0	0	0	0	0	0	0		0	veteran_new:item_level90_boost	veteran_new:choice_description									
heroic_biolink_set	heroic_biolink_set			0	0	0	0	0	0	0		0	veteran_new:heroic_biolink_set	veteran_new:choice_description									
vet_stipend_scroll	vet_stipend_scroll			0	0	0	0	0	0	0		1	veteran_new:vet_stipend_scroll	veteran_new:choice_description									
pilotequipment1	pilotequipment1			0	0	0	0	0	0	0		1	veteran_new:pilotequipment1	veteran_new:choice_description									
pilotequipment2	pilotequipment2			0	0	0	0	0	0	0		1	veteran_new:pilotequipment2	veteran_new:choice_description									
pilotequipment3	pilotequipment3			0	0	0	0	0	0	0		1	veteran_new:pilotequipment3	veteran_new:choice_description									
pilotequipment4	pilotequipment4			0	0	0	0	0	0	0		1	veteran_new:pilotequipment4	veteran_new:choice_description									
pilotequipment5	pilotequipment5			0	0	0	0	0	0	0		1	veteran_new:pilotequipment5	veteran_new:choice_description									
trader_care_package	trader_care_package			0	0	0	0	0	0	0		1	veteran_new:trader_care_package	veteran_new:choice_description									
game_update_5_gift	game_update_4_gift			0	0	0	0	0	0	0		1	veteran_new:game_update_4_gift	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
